Product Name,Rating,Total Ratings,Price,Type,Platform,Categories
WELLY Embroidered Semi Stitched Lehenga Choli Set (RAMA),3,1,"1,699",Lahenga,Amazon,Cloth
"Women,s Tussar Silk With Leheriya And Foil Print Lehenga choli Set (PINK)",2.6,6,"1,299",Lahenga,Amazon,Cloth
ASHA Women's Only Lehenga,2.7,4,99,Lahenga,Amazon,Cloth
Women's Heavy Gorgatte Semi-Stiched Lehenga Choli,3.7,122,699,Lahenga,Amazon,Cloth
Women's Slab Silk Semi Stitched Lehenga Choli In Multicolour Colour SF218ver-31,2.2,9,"2,699",Lahenga,Amazon,Cloth
Welk Embroidered Semi Stitched Lehenga Choli Set (RAMA),3.7,122,"1,699",Lahenga,Amazon,Cloth
Women's Floral Organza Semi Stitched Lehenga Choli,3.6,"1,247",249,Lahenga,Amazon,Cloth
Women's Georgette Embroidery Lehenga Choli With Dupatta Set,3,2,"1,299",Lahenga,Amazon,Cloth
"Women's Organza Floral White Semi-Stitched Lehenga Choli (7611-Wedding-Floral-Lehenga-Latest, White)",4,893,"3,369",Lahenga,Amazon,Cloth
Women Heavy Net Semi-Stiched Embrodary Lehenga Choli with Dupatta,3,16,699,Lahenga,Amazon,Cloth
Women's Georgette Semi Stitched Lehenga Choli In Multicolour Colour Chaniyacholisf218ver-13,3.8,94,"2,499",Lahenga,Amazon,Cloth
Women's Embroidered Georgette Lehenga Choli for Women I Morpeach I Designer I New I Bridal I Navratri I Bollywood I Letest I Stylish I Ready to wear I Lehenga for women,4.4,164,"2,497",Lahenga,Amazon,Cloth
Embroidered Semi Stitched purple Lehenga Choli with duptta (PURPLE),3.1,12,"1,699",Lahenga,Amazon,Cloth
Women's Party Semi-Stitched Sequence Net Lehenga Choli with Dupatta,5,1,849,Lahenga,Amazon,Cloth
Binali Women Best Purple Semi Stitched Lehenga Choli,3.7,122,"1,849",Lahenga,Amazon,Cloth
Women's Net Sequence Embroidery Lehenga Choli with Dupatta | Semi-Stitched Lehenga Choli,4.5,29,"1,749",Lahenga,Amazon,Cloth
Women's Heavy Organza Embrodary Semi-Stiched Lehenga Choli And Dupatta Set,3.1,10,799,Lahenga,Amazon,Cloth
Women's Sequine Embroidered Work Georgette Fabric Lehenga Choli With Dupatta (_Semi Stitched).,4.4,42,"1,999",Lahenga,Amazon,Cloth
Swara's Embroidered Semi Stitched Lehenga Choli (PURPLE),3.7,122,"1,699",Lahenga,Amazon,Cloth
